2022-09-18 19:28:03.888 INFO  [118004] Logger 0 Initialized
2022-09-18 19:28:07.766 INFO  [118039] Logger 0 Initialized
2022-09-18 19:28:26.903 INFO  [118110] Logger 0 Initialized
2022-09-18 19:29:19.987 INFO  [118390] Logger 0 Initialized
2022-09-18 19:29:25.104 INFO  [118424] Logger 0 Initialized
2022-09-18 19:42:02.171 INFO  [121109] Logger 0 Initialized
2022-09-18 19:45:01.487 INFO  [121836] Logger 0 Initialized
2022-09-18 19:45:50.253 INFO  [122028] Logger 0 Initialized
2022-09-18 19:58:01.280 INFO  [124503] Logger 0 Initialized
2022-09-18 20:01:22.172 INFO  [125480] Logger 0 Initialized
2022-09-18 20:02:43.372 INFO  [125751] Logger 0 Initialized
2022-09-18 20:03:22.101 INFO  [125975] Logger 0 Initialized
2022-09-18 20:03:49.109 INFO  [126112] Logger 0 Initialized
2022-09-18 20:05:21.687 INFO  [126440] Logger 0 Initialized
2022-09-18 20:07:41.148 INFO  [126874] Logger 0 Initialized
2022-09-18 20:10:00.281 INFO  [127285] Logger 0 Initialized
2022-09-18 20:16:23.256 INFO  [128640] Logger 0 Initialized
2022-09-18 20:18:35.931 INFO  [129040] Logger 0 Initialized
2022-09-18 20:30:21.669 INFO  [130949] Logger 0 Initialized
2022-09-18 20:40:33.366 INFO  [132878] Logger 0 Initialized
2022-09-18 20:42:28.206 INFO  [133249] Logger 0 Initialized
2022-09-18 20:43:24.154 INFO  [133420] Logger 0 Initialized
2022-09-18 20:44:18.627 INFO  [133622] Logger 0 Initialized
2022-09-18 20:45:41.483 INFO  [133880] Logger 0 Initialized
2022-09-18 20:47:09.624 INFO  [134182] Logger 0 Initialized
2022-09-18 20:52:41.638 INFO  [135312] Logger 0 Initialized
2022-09-18 20:56:24.436 INFO  [135960] Logger 0 Initialized
2022-09-18 20:58:29.891 INFO  [136381] Logger 0 Initialized
2022-09-18 20:58:55.715 INFO  [136523] Logger 0 Initialized
2022-09-18 20:59:06.374 INFO  [136579] Logger 0 Initialized
2022-09-18 20:59:42.253 INFO  [136693] Logger 0 Initialized
2022-09-18 21:02:09.729 INFO  [137097] Logger 0 Initialized
2022-09-18 21:03:11.322 INFO  [137291] Logger 0 Initialized
2022-09-18 21:03:48.241 INFO  [137432] Logger 0 Initialized
2022-09-18 21:04:51.149 INFO  [137603] Logger 0 Initialized
2022-09-18 21:06:34.102 INFO  [137880] Logger 0 Initialized
2022-09-18 21:07:35.046 INFO  [138067] Logger 0 Initialized
2022-09-18 21:10:41.107 INFO  [138635] Logger 0 Initialized
2022-09-18 21:11:53.926 INFO  [138864] Logger 0 Initialized
2022-09-18 21:14:32.188 INFO  [139345] Logger 0 Initialized
2022-09-18 21:16:57.155 INFO  [139822] Logger 0 Initialized
2022-09-18 21:18:41.856 INFO  [140131] Logger 0 Initialized
2022-09-18 21:20:12.902 INFO  [140420] Logger 0 Initialized
2022-09-18 21:20:44.886 INFO  [140537] Logger 0 Initialized
2022-09-18 21:22:54.480 INFO  [140935] Logger 0 Initialized
2022-09-18 21:23:43.928 INFO  [141085] Logger 0 Initialized
2022-09-18 21:24:06.247 INFO  [141169] Logger 0 Initialized
2022-09-18 21:24:44.089 INFO  [141292] Logger 0 Initialized
2022-09-18 21:25:50.481 INFO  [141511] Logger 0 Initialized
2022-09-18 21:32:25.323 INFO  [142855] Logger 0 Initialized
